# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
0 20 840
  1 42 -0.000456985
  2 42 -0.000457466
  3 42 -0.000437987
  4 42 -0.000445407
  5 42 -0.000463556
  6 42 -0.000448552
  7 42 -0.000435027
  8 42 -0.000430276
  9 42 -0.000452548
  10 42 -0.000469214
  11 42 -0.000438618
  12 42 -0.000435749
  13 42 -0.000438341
  14 42 -0.000431868
  15 42 -0.000445072
  16 42 -0.000459747
  17 42 -0.000451925
  18 42 -0.000494805
  19 42 -0.000448601
  20 42 -0.000438866
100 20 840
  1 42 4.02885
  2 42 -2.36792
  3 42 -1.37965
  4 42 -1.94827
  5 42 -1.33293
  6 42 -1.01026
  7 42 2.45392
  8 42 4.06901
  9 42 2.13085
  10 42 2.8519
  11 42 2.4044
  12 42 -0.106996
  13 42 -1.87805
  14 42 1.63232
  15 42 -1.16006
  16 42 2.29949
  17 42 -1.64154
  18 42 -1.10826
  19 42 -3.57488
  20 42 2.93449
200 20 840
  1 42 0.938115
  2 42 -0.0754192
  3 42 2.66084
  4 42 -5.26423
  5 42 0.11011
  6 42 -3.48271
  7 42 0.98131
  8 42 1.06558
  9 42 4.65069
  10 42 1.90671
  11 42 -1.16006
  12 42 0.433755
  13 42 5.95764
  14 42 1.12493
  15 42 -4.45184
  16 42 -3.82196
  17 42 3.45909
  18 42 1.07489
  19 42 -0.4561
  20 42 -2.05185
300 20 840
  1 42 -1.12603
  2 42 1.18774
  3 42 4.75246
  4 42 -0.213722
  5 42 6.46505
  6 42 -3.19155
  7 42 3.68231
  8 42 -1.48362
  9 42 2.6837
  10 42 -3.88967
  11 42 0.571733
  12 42 -1.07292
  13 42 0.116667
  14 42 1.07052
  15 42 3.37093
  16 42 -1.80121
  17 42 -1.50128
  18 42 -5.97666
  19 42 -2.71953
  20 42 1.45747
400 20 840
  1 42 1.17543
  2 42 2.87831
  3 42 0.193232
  4 42 -1.12257
  5 42 -2.28351
  6 42 1.46686
  7 42 2.5058
  8 42 0.618765
  9 42 2.18697
  10 42 4.7235
  11 42 -0.890111
  12 42 2.42756
  13 42 5.17108
  14 42 1.53727
  15 42 1.2992
  16 42 -6.7598
  17 42 -1.05669
  18 42 -3.14055
  19 42 2.90783
  20 42 -3.41212
500 20 840
  1 42 1.03581
  2 42 -1.92256
  3 42 1.41496
  4 42 -1.60792
  5 42 -1.41725
  6 42 -0.599035
  7 42 6.59342
  8 42 -0.201376
  9 42 3.26322
  10 42 1.77058
  11 42 -1.07852
  12 42 0.477264
  13 42 -0.790707
  14 42 -1.17057
  15 42 3.07904
  16 42 -1.68685
  17 42 -3.46581
  18 42 -1.8252
  19 42 6.96738
  20 42 -3.32803
600 20 840
  1 42 1.14252
  2 42 -0.0167032
  3 42 0.799579
  4 42 -1.83709
  5 42 5.06176
  6 42 -1.58655
  7 42 -0.66974
  8 42 -2.27018
  9 42 -1.96996
  10 42 -4.1203
  11 42 -1.6999
  12 42 0.151708
  13 42 -2.82197
  14 42 -3.49841
  15 42 4.78156
  16 42 -1.06417
  17 42 2.20124
  18 42 -0.0651833
  19 42 4.35572
  20 42 -8.30375
700 20 840
  1 42 -0.436827
  2 42 1.26031
  3 42 3.45019
  4 42 0.276372
  5 42 -0.562218
  6 42 3.06351
  7 42 1.67105
  8 42 -2.0061
  9 42 -0.0113267
  10 42 -0.834652
  11 42 -0.898575
  12 42 2.58051
  13 42 0.968239
  14 42 2.41402
  15 42 -1.77033
  16 42 -1.91513
  17 42 -0.0206742
  18 42 0.637609
  19 42 2.54441
  20 42 -1.02458
800 20 840
  1 42 1.5662
  2 42 0.636024
  3 42 -3.77525
  4 42 1.35361
  5 42 0.0437399
  6 42 2.42268
