# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
0 20 840
  1 42 0.149711
  2 42 0.149711
  3 42 0.149711
  4 42 0.149711
  5 42 0.149711
  6 42 0.149711
  7 42 0.149711
  8 42 0.149711
  9 42 0.149711
  10 42 0.149711
  11 42 0.149711
  12 42 0.149711
  13 42 0.149711
  14 42 0.149711
  15 42 0.149711
  16 42 0.149711
  17 42 0.149711
  18 42 0.149711
  19 42 0.149711
  20 42 0.149711
100 20 840
  1 42 0.315479
  2 42 0.306068
  3 42 0.275127
  4 42 0.809686
  5 42 0.732842
  6 42 1.376
  7 42 -0.288561
  8 42 -0.258061
  9 42 0.619307
  10 42 -0.136038
  11 42 0.81082
  12 42 0.497938
  13 42 0.597335
  14 42 0.474119
  15 42 -0.849118
  16 42 -0.882757
  17 42 -0.0633939
  18 42 0.071106
  19 42 0.639421
  20 42 -0.420259
200 20 840
  1 42 0.213499
  2 42 0.0389511
  3 42 1.28256
  4 42 0.886229
  5 42 1.01245
  6 42 0.636515
  7 42 -0.040192
  8 42 0.179153
  9 42 -0.14437
  10 42 -0.720786
  11 42 -0.356958
  12 42 0.0163017
  13 42 0.374859
  14 42 0.89199
  15 42 0.428326
  16 42 0.130141
  17 42 1.87489
  18 42 0.693678
  19 42 2.0599
  20 42 -0.832926
300 20 840
  1 42 0.0225235
  2 42 0.417422
  3 42 -0.699719
  4 42 -0.350357
  5 42 0.500619
  6 42 -0.138409
  7 42 0.213754
  8 42 -0.536714
  9 42 0.839741
  10 42 0.948234
  11 42 -0.606921
  12 42 -0.396653
  13 42 -0.201632
  14 42 0.0885337
  15 42 -0.945748
  16 42 0.735434
  17 42 -0.375492
  18 42 1.35787
  19 42 -0.821029
  20 42 0.670681
400 20 840
  1 42 0.819829
  2 42 0.288959
  3 42 1.50405
  4 42 -0.2215
  5 42 0.779211
  6 42 -0.312755
  7 42 0.582538
  8 42 -0.563754
  9 42 0.343069
  10 42 -0.834543
  11 42 0.925379
  12 42 0.321446
  13 42 -0.777813
  14 42 -0.433257
  15 42 0.679883
  16 42 1.51048
  17 42 -0.503392
  18 42 0.779343
  19 42 -0.704259
  20 42 -0.147847
500 20 840
  1 42 1.3965
  2 42 -0.450258
  3 42 0.220686
  4 42 -0.229941
  5 42 0.792376
  6 42 1.51138
  7 42 -0.386783
  8 42 0.522786
  9 42 -0.114187
  10 42 -0.771349
  11 42 0.324551
  12 42 0.917075
  13 42 0.193121
  14 42 0.144635
  15 42 0.162248
  16 42 -0.186857
  17 42 -0.878038
  18 42 0.239198
  19 42 0.401594
  20 42 -0.229099
600 20 840
  1 42 -1.19981
  2 42 0.691368
  3 42 -0.434067
  4 42 0.520328
  5 42 0.615075
  6 42 -1.11648
  7 42 -0.363325
  8 42 0.359624
  9 42 -0.712354
  10 42 1.10105
  11 42 0.143812
  12 42 0.0956526
  13 42 0.309624
  14 42 -0.25182
  15 42 -0.859451
  16 42 0.217393
  17 42 -0.635647
  18 42 -1.40739
  19 42 0.0852958
  20 42 0.661945
700 20 840
  1 42 -0.326355
  2 42 0.309905
  3 42 -0.057834
  4 42 0.189717
  5 42 0.192372
  6 42 -0.878041
  7 42 0.576761
  8 42 0.413344
  9 42 -0.886818
  10 42 -0.135604
  11 42 1.29019
  12 42 -0.916526
  13 42 0.0862584
  14 42 -0.724125
  15 42 0.192252
  16 42 0.466341
  17 42 0.392394
  18 42 -1.26717
  19 42 0.109516
  20 42 -0.205991
800 20 840
  1 42 -0.283462
  2 42 -0.345642
  3 42 -0.980754
  4 42 -0.735019
  5 42 -1.18471
  6 42 0.182645
  7 42 -1.28595
  8 42 0.319652
  9 42 0.34974
  10 42 1.26286
  11 42 0.460081
  12 42 -0.782599
  13 42 -0.0614728
  14 42 0.717145
  15 42 -0.842268
  16 42 0.755376
  17 42 0.979331
  18 42 0.0961375
  19 42 -0.0343607
  20 42 0.0189792
900 20 840
  1 42 -0.0648456
  2 42 -0.747258
  3 42 -0.436529
  4 42 0.294183
  5 42 -0.600509
  6 42 -0.0549208
  7 42 0.620266
  8 42 -0.386921
  9 42 0.657937
  10 42 0.489847
  11 42 1.43942
  12 42 -0.71181
  13 42 -1.77435
  14 42 -0.58547
  15 42 1.38787
  16 42 -0.431157
  17 42 -0.768212
  18 42 0.285132
  19 42 1.06187
  20 42 -0.184583
1000 20 840
  1 42 0.261827
  2 42 -0.368179
  3 42 0.381757
  4 42 0.00528717
  5 42 -0.581523
  6 42 0.0173269
  7 42 -0.0514721
  8 42 1.10357
  9 42 0.911895
  10 42 0.558051
  11 42 0.787699
  12 42 1.18895
  13 42 0.523147
  14 42 0.106153
  15 42 0.794925
  16 42 0.399378
  17 42 0.182038
  18 42 1.06218
  19 42 0.806621
  20 42 0.375372
