# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
0 20 840
  1 42 -0.156299
  2 42 -0.156299
  3 42 -0.156299
  4 42 -0.156299
  5 42 -0.156299
  6 42 -0.156299
  7 42 -0.156299
  8 42 -0.156299
  9 42 -0.156299
  10 42 -0.156299
  11 42 -0.156299
  12 42 -0.156299
  13 42 -0.156299
  14 42 -0.156299
  15 42 -0.156299
  16 42 -0.156299
  17 42 -0.156299
  18 42 -0.156299
  19 42 -0.156299
  20 42 -0.156299
100 20 840
  1 42 0.131223
  2 42 0.112638
  3 42 -0.622479
  4 42 -0.94088
  5 42 -0.26343
  6 42 0.39117
  7 42 -0.388697
  8 42 0.739572
  9 42 1.26352
  10 42 -0.36021
  11 42 -0.420123
  12 42 0.165962
  13 42 1.02415
  14 42 0.394015
  15 42 -1.10928
  16 42 -0.304841
  17 42 0.113635
  18 42 0.703102
  19 42 -0.360067
  20 42 0.971859
200 20 840
  1 42 -0.211396
  2 42 0.173825
  3 42 -0.202159
  4 42 -0.558597
  5 42 0.0967128
  6 42 -0.238795
  7 42 1.26993
  8 42 0.0787346
  9 42 0.236974
  10 42 0.549741
  11 42 -0.479367
  12 42 -0.5115
  13 42 -1.3031
  14 42 -0.785636
  15 42 0.823489
  16 42 -0.429535
  17 42 -0.405415
  18 42 -0.0976209
  19 42 1.39072
  20 42 0.18853
300 20 840
  1 42 0.248927
  2 42 -0.719718
  3 42 -1.95217
  4 42 -0.429393
  5 42 -2.20462
  6 42 0.346496
  7 42 -1.39
  8 42 0.725092
  9 42 -0.979067
  10 42 1.76903
  11 42 -0.355128
  12 42 -0.597204
  13 42 1.04882
  14 42 0.195133
  15 42 -1.33049
  16 42 -0.982873
  17 42 1.27116
  18 42 0.726264
  19 42 0.967553
  20 42 -0.385818
400 20 840
  1 42 -0.0479118
  2 42 -0.332528
  3 42 -0.24293
  4 42 0.774516
  5 42 0.267559
  6 42 -0.612765
  7 42 -0.291426
  8 42 0.536553
  9 42 -0.476387
  10 42 -0.420742
  11 42 0.477773
  12 42 -1.18022
  13 42 -0.174197
  14 42 -0.772196
  15 42 -0.257869
  16 42 -1.43215
  17 42 0.806899
  18 42 0.138296
  19 42 0.268674
  20 42 -0.0744036
500 20 840
  1 42 -1.6083
  2 42 0.41646
  3 42 -1.52174
  4 42 0.622842
  5 42 0.200805
  6 42 -1.66425
  7 42 -1.56327
  8 42 0.0212917
  9 42 -1.5919
  10 42 1.19183
  11 42 0.353276
  12 42 1.00742
  13 42 -1.42463
  14 42 -0.511229
  15 42 -0.374058
  16 42 -0.0187791
  17 42 -0.318474
  18 42 -0.723508
  19 42 -0.80827
  20 42 0.647324
600 20 840
  1 42 -1.17445
  2 42 -1.34277
  3 42 -0.41623
  4 42 -0.200453
  5 42 -2.06637
  6 42 -0.631146
  7 42 -0.00440798
  8 42 0.999057
  9 42 -0.429591
  10 42 -0.47425
  11 42 -0.473174
  12 42 -0.118809
  13 42 0.20214
  14 42 -0.756725
  15 42 -0.25489
  16 42 0.425551
  17 42 -1.77831
  18 42 0.265057
  19 42 -0.276643
  20 42 0.682804
700 20 840
  1 42 -1.43162
  2 42 0.0423187
  3 42 1.31949
  4 42 -0.239371
  5 42 -0.795501
  6 42 -1.63397
  7 42 -0.552676
  8 42 0.0246835
  9 42 0.0447172
  10 42 -1.01088
  11 42 -0.356748
  12 42 -0.634137
  13 42 -0.204646
  14 42 -1.36254
  15 42 0.54419
  16 42 0.746424
  17 42 -0.258769
  18 42 -1.00636
  19 42 -1.63713
  20 42 -0.0824011
800 20 840
  1 42 -0.587735
  2 42 -0.664311
  3 42 -1.10913
  4 42 -0.890301
  5 42 1.50313
  6 42 -0.237547
  7 42 0.293346
  8 42 -1.49881
  9 42 0.441283
  10 42 0.493498
  11 42 -0.753706
  12 42 0.0677489
  13 42 0.149185
  14 42 0.513785
  15 42 -1.86751
  16 42 0.513749
  17 42 -0.929894
  18 42 -0.0515051
  19 42 -0.396505
  20 42 -0.176295
900 20 840
  1 42 -0.532441
  2 42 -0.99937
  3 42 0.849341
  4 42 -0.151217
  5 42 1.10396
  6 42 0.294215
  7 42 0.746089
  8 42 -0.548532
  9 42 -0.563631
  10 42 -0.544597
  11 42 -0.341539
  12 42 0.345095
  13 42 0.2218
  14 42 0.078055
  15 42 -0.871409
  16 42 1.04244
  17 42 1.2127
  18 42 -1.0106
  19 42 1.17264
  20 42 -0.4086
1000 20 840
  1 42 0.34036
  2 42 0.425799
  3 42 0.156017
  4 42 0.235902
  5 42 -0.374473
  6 42 0.99091
  7 42 -0.19993
  8 42 -0.134037
  9 42 -0.293823
  10 42 0.106029
  11 42 -0.000355822
  12 42 -0.168291
  13 42 0.00407414
  14 42 -0.139416
  15 42 -0.351559
  16 42 0.159425
  17 42 -1.45241
  18 42 -0.997376
  19 42 -0.642537
  20 42 -0.138168
1100 20 840
  1 42 0.530804
  2 42 0.49892
  3 42 -0.337189
  4 42 -1.73638
  5 42 0.764597
  6 42 -0.133261
  7 42 0.00233223
  8 42 -0.640813
  9 42 -0.0333992
  10 42 -0.355807
  11 42 1.3142
  12 42 0.421283
  13 42 -0.297052
  14 42 0.371084
  15 42 -0.611292
  16 42 0.132531
  17 42 -0.8691
  18 42 1.08075
  19 42 -0.131649
  20 42 0.454864
1200 20 840
  1 42 0.556611
  2 42 0.0118861
  3 42 0.136899
  4 42 -0.403615
  5 42 1.77068
  6 42 0.435436
  7 42 -0.70949
  8 42 -0.539249
  9 42 -1.3139
  10 42 -0.520911
  11 42 0.0471748
  12 42 0.384049
  13 42 -0.336262
  14 42 0.471348
  15 42 0.414016
  16 42 0.177063
  17 42 -0.0894659
  18 42 1.21257
  19 42 1.13426
  20 42 -0.557475
1300 20 840
  1 42 0.0473912
  2 42 -1.37982
  3 42 -0.141805
  4 42 1.12862
  5 42 -1.02808
  6 42 0.0852101
  7 42 -1.3771
  8 42 -0.192962
  9 42 0.558323
  10 42 0.631317
  11 42 -0.0775981
  12 42 0.294211
  13 42 -0.503127
  14 42 -1.4665
  15 42 -1.38171
  16 42 -0.557759
  17 42 -1.41918
  18 42 0.327191
  19 42 -0.27831
  20 42 -0.749322
1400 20 840
  1 42 -0.0275577
  2 42 -0.0462554
  3 42 0.451052
  4 42 -1.03749
  5 42 -1.35054
  6 42 -0.826379
  7 42 -0.106704
  8 42 0.74851
  9 42 -1.29462
  10 42 -0.125264
  11 42 0.743735
  12 42 0.327626
  13 42 -1.34076
  14 42 -1.56348
  15 42 1.12674
  16 42 -0.876447
  17 42 -0.345997
  18 42 0.40516
  19 42 0.775493
  20 42 -2.03988
1500 20 840
  1 42 0.325573
  2 42 -0.364484
  3 42 -1.5115
  4 42 -1.15358
  5 42 0.23965
  6 42 -0.363975
  7 42 0.0186598
  8 42 0.882383
  9 42 -0.468477
  10 42 0.691045
  11 42 0.561917
  12 42 -0.59102
  13 42 0.716186
  14 42 0.531282
  15 42 -0.546132
  16 42 -0.898151
  17 42 -0.152205
  18 42 -0.526379
  19 42 0.427238
  20 42 -0.151852
1600 20 840
  1 42 -1.11455
  2 42 0.355538
  3 42 -1.36652
  4 42 -0.408057
  5 42 -1.55955
  6 42 -1.81638
  7 42 0.421122
  8 42 -0.351409
  9 42 -0.000404838
  10 42 1.04404
  11 42 -0.322342
  12 42 -0.920631
  13 42 0.271018
  14 42 0.833348
  15 42 -0.741509
  16 42 -0.216832
  17 42 -0.794873
  18 42 -1.88144
  19 42 -0.677815
  20 42 1.50099
1700 20 840
  1 42 0.506799
  2 42 0.273006
  3 42 0.308361
  4 42 -1.09578
  5 42 -1.45591
  6 42 -0.0910884
  7 42 0.790542
  8 42 -0.395179
  9 42 -0.604723
  10 42 0.0658569
  11 42 1.19623
  12 42 0.457075
  13 42 -0.0715095
  14 42 0.533518
  15 42 1.45331
  16 42 1.2447
  17 42 0.42894
