# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
0 20 840
  1 42 1.54359e-11
  2 42 -2.1029e-11
  3 42 -2.70277e-11
  4 42 -2.04475e-11
  5 42 -1.69828e-11
  6 42 -7.23621e-12
  7 42 -1.65171e-11
  8 42 -1.79785e-11
  9 42 -1.76531e-11
  10 42 -2.20978e-11
  11 42 -1.78927e-11
  12 42 -1.72485e-11
  13 42 -1.56185e-11
  14 42 9.58704e-11
  15 42 -2.13933e-11
  16 42 -1.32733e-11
  17 42 -1.3305e-11
  18 42 -2.2799e-11
  19 42 -1.66579e-11
  20 42 -9.70551e-12
100 20 840
  1 42 0.258201
  2 42 0.411299
  3 42 -0.600021
  4 42 -0.558716
  5 42 0.42537
  6 42 1.90786
  7 42 0.170107
  8 42 -0.0837336
  9 42 1.37359
  10 42 -0.379274
  11 42 0.809387
  12 42 1.47528
  13 42 1.08336
  14 42 1.18526
  15 42 -1.9817
  16 42 -0.66938
  17 42 -0.299285
  18 42 -0.0123515
  19 42 0.103468
  20 42 -0.364549
200 20 840
  1 42 -0.311443
  2 42 -0.57443
  3 42 0.944807
  4 42 0.310418
  5 42 1.85677
  6 42 1.356
  7 42 1.47722
  8 42 -0.550414
  9 42 1.68258
  10 42 -0.49221
  11 42 -1.11692
  12 42 0.384803
  13 42 -0.588383
  14 42 0.169307
  15 42 0.0469804
  16 42 -0.845793
  17 42 0.92484
  18 42 1.19332
  19 42 2.39244
  20 42 -0.763201
300 20 840
  1 42 0.0270628
  2 42 0.175693
  3 42 -0.646629
  4 42 -1.21829
  5 42 0.25516
  6 42 0.87019
  7 42 0.46934
  8 42 0.688122
  9 42 -0.373182
  10 42 2.17949
  11 42 -2.31218
  12 42 -1.10709
  13 42 0.69013
  14 42 -1.3203
  15 42 -4.2332
  16 42 -0.396796
  17 42 1.53907
  18 42 2.42488
  19 42 0.285782
  20 42 0.927752
400 20 840
  1 42 0.700661
  2 42 -0.518748
  3 42 2.01799
  4 42 -0.302557
  5 42 2.67727
  6 42 0.818688
  7 42 0.326648
  8 42 0.201247
  9 42 -0.348413
  10 42 -0.777742
  11 42 0.534906
  12 42 -0.660164
  13 42 -1.69726
  14 42 -0.36164
  15 42 0.919414
  16 42 -0.413272
  17 42 0.95649
  18 42 0.53671
  19 42 -0.626319
  20 42 0.87136
500 20 840
  1 42 0.589074
  2 42 0.627192
  3 42 -2.31813
  4 42 1.64716
  5 42 -0.87167
  6 42 -1.42392
  7 42 -1.90895
  8 42 -0.080102
  9 42 0.707654
  10 42 0.814355
  11 42 1.9307
  12 42 -0.585275
  13 42 -1.23649
  14 42 -0.715035
  15 42 -0.561826
  16 42 -1.4247
  17 42 0.51267
  18 42 0.0793818
  19 42 -1.88529
  20 42 -0.893576
600 20 840
  1 42 -2.1636
  2 42 -1.13075
  3 42 1.29671
  4 42 0.626259
  5 42 -1.0273
  6 42 -0.267107
  7 42 0.133196
  8 42 0.981847
  9 42 -3.44867
  10 42 -0.223407
  11 42 -0.827643
  12 42 0.502664
  13 42 -0.299876
  14 42 -0.948521
  15 42 1.42407
  16 42 1.38323
  17 42 -1.22946
  18 42 -0.228584
  19 42 -0.488576
  20 42 0.297482
700 20 840
  1 42 -0.321809
  2 42 -0.394955
  3 42 0.496842
  4 42 0.318173
  5 42 -1.27938
  6 42 -0.90399
  7 42 -0.0656723
  8 42 0.959937
  9 42 0.731428
  10 42 0.872631
  11 42 1.44337
  12 42 -0.0795083
  13 42 -0.108901
  14 42 -0.423892
  15 42 0.625431
  16 42 2.40261
  17 42 -1.68191
  18 42 -0.0524907
  19 42 0.443353
  20 42 0.551195
800 20 840
  1 42 -1.00604
  2 42 -1.95651
  3 42 -0.0606722
  4 42 -1.08645
  5 42 -0.500257
  6 42 -0.217613
  7 42 0.344643
  8 42 -0.193306
  9 42 1.36561
  10 42 -2.07177
  11 42 0.608252
  12 42 -0.512269
  13 42 -0.274454
  14 42 -0.0308135
  15 42 -0.915541
  16 42 -0.837749
  17 42 -0.411724
  18 42 -1.62596
  19 42 -0.120946
  20 42 -0.102278
900 20 840
  1 42 -0.817966
  2 42 1.39872
  3 42 -0.682314
  4 42 -0.754203
  5 42 0.591233
  6 42 -0.526662
  7 42 -0.813406
  8 42 -1.27299
  9 42 1.35627
  10 42 0.638106
  11 42 1.10705
  12 42 0.396368
  13 42 1.37355
  14 42 1.28215
  15 42 1.00153
  16 42 1.08128
  17 42 -2.5522
  18 42 -1.28331
  19 42 -2.17574
  20 42 0.087165
1000 20 840
  1 42 -1.09821
  2 42 0.0896569
  3 42 -0.808186
  4 42 0.381015
  5 42 0.337466
  6 42 -1.39481
  7 42 1.46983
  8 42 -0.701944
  9 42 -1.6903
  10 42 0.338499
  11 42 -0.816968
  12 42 0.121399
  13 42 0.826218
  14 42 -0.813813
  15 42 0.447078
  16 42 1.1737
  17 42 1.22922
  18 42 -0.585022
  19 42 1.14251
  20 42 -0.820489
1100 20 840
  1 42 0.788415
  2 42 -0.755989
  3 42 1.16296
  4 42 -0.399776
  5 42 -0.384951
  6 42 -1.85532
  7 42 0.717036
  8 42 -0.454345
  9 42 -0.898384
  10 42 -0.944018
  11 42 -1.25246
  12 42 -0.811381
  13 42 0.323831
  14 42 -0.561683
  15 42 0.078905
  16 42 -0.0333377
  17 42 -0.637221
  18 42 -1.45734
  19 42 0.526154
  20 42 0.717196
1200 20 840
  1 42 0.264284
  2 42 1.20826
  3 42 1.31288
  4 42 -0.660437
  5 42 -1.03659
  6 42 0.501121
  7 42 0.883521
  8 42 0.177194
  9 42 -0.305511
  10 42 0.639426
  11 42 -0.544663
  12 42 1.69724
  13 42 0.316357
  14 42 1.56063
  15 42 -0.253199
  16 42 -0.493651
  17 42 -0.614804
  18 42 -1.04258
  19 42 -0.0059334
  20 42 0.926397
1300 20 840
  1 42 0.37032
  2 42 0.189771
  3 42 -0.255357
  4 42 0.333743
  5 42 2.25515
  6 42 1.54639
  7 42 0.644015
  8 42 -0.598378
  9 42 -0.945889
  10 42 -0.980491
  11 42 0.216263
  12 42 0.679071
  13 42 -0.386005
  14 42 -1.14737
  15 42 2.34774
  16 42 -0.382616
  17 42 0.0154049
  18 42 0.941488
  19 42 1.64836
  20 42 -0.740917
1400 20 840
  1 42 -0.714669
  2 42 0.483743
  3 42 0.367069
  4 42 -0.358274
  5 42 -1.89747
  6 42 -1.01956
  7 42 0.377388
  8 42 0.294657
  9 42 -0.530427
  10 42 0.528796
  11 42 -0.66845
  12 42 -0.597412
  13 42 1.19611
  14 42 -0.997064
  15 42 -0.444788
  16 42 0.36272
  17 42 -0.373301
  18 42 0.725361
  19 42 -1.15331
  20 42 0.576109
1500 20 840
  1 42 -0.503304
  2 42 -0.462313
  3 42 0.713599
  4 42 -1.03241
  5 42 1.51423
  6 42 2.28386
  7 42 1.09165
  8 42 0.0909837
  9 42 -0.367739
  10 42 -1.29883
  11 42 -0.721445
  12 42 -0.803914
  13 42 -1.12919
  14 42 0.492578
  15 42 -1.5839
  16 42 1.14314
  17 42 -1.01326
  18 42 -0.572724
  19 42 1.24165
  20 42 -1.07392
1600 20 840
  1 42 -0.657878
  2 42 -0.430777
  3 42 -1.71565
  4 42 1.43734
  5 42 -1.46679
  6 42 -1.48412
  7 42 -1.97208
  8 42 -1.33973
  9 42 3.34801
  10 42 1.33994
  11 42 1.71101
  12 42 -1.10342
  13 42 -1.39336
  14 42 -0.119235
  15 42 0.247947
  16 42 0.348181
  17 42 -0.406455
  18 42 0.302203
  19 42 2.13368
  20 42 -1.26737
1700 20 840
  1 42 -1.12223
  2 42 0.00338614
  3 42 0.147065
  4 42 0.455893
  5 42 0.775533
  6 42 0.142939
  7 42 -1.82602
  8 42 -0.705244
  9 42 1.55508
  10 42 0.532164
  11 42 -2.73274
  12 42 -0.556994
  13 42 -1.28642
  14 42 -2.34946
  15 42 0.219656
  16 42 -0.0718823
  17 42 1.95457
  18 42 0.418151
  19 42 -0.885495
  20 42 -1.26774
1800 20 840
  1 42 0.732995
  2 42 -0.469696
  3 42 2.01526
  4 42 -0.422757
  5 42 1.23928
  6 42 -0.604433
  7 42 -0.592314
  8 42 1.24032
  9 42 0.2908
  10 42 0.845063
  11 42 0.815507
  12 42 -0.672599
  13 42 -1.74249
  14 42 -0.477155
  15 42 0.345186
  16 42 -1.28316
  17 42 -1.41197
  18 42 0.910348
  19 42 -0.12171
  20 42 -0.608955
1900 20 840
  1 42 0.9991
  2 42 -0.876134
  3 42 1.02066
  4 42 0.166943
  5 42 1.12123
  6 42 0.337724
  7 42 0.952858
  8 42 0.176261
  9 42 1.07772
  10 42 -1.63052
  11 42 0.280612
  12 42 1.94365
  13 42 -0.540942
  14 42 -0.618212
  15 42 0.597131
  16 42 -1.03832
  17 42 -0.504962
  18 42 0.573743
  19 42 -0.320304
  20 42 0.362052
2000 20 840
  1 42 0.316361
  2 42 0.902209
  3 42 0.789447
  4 42 2.20689
  5 42 1.10243
  6 42 0.908461
  7 42 1.14681
  8 42 0.513054
  9 42 0.528567
  10 42 -0.613405
  11 42 -0.240544
  12 42 1.43381
  13 42 1.19755
  14 42 0.84599
  15 42 1.6677
  16 42 2.6793
  17 42 -1.96283
  18 42 -0.277273
  19 42 -2.4085
  20 42 1.21394
2100 20 840
  1 42 -0.13241
  2 42 1.12168
  3 42 0.770877
  4 42 -0.212328
  5 42 -0.600478
  6 42 0.673295
  7 42 2.67895
  8 42 0.0923979
  9 42 -2.13007
  10 42 -0.540699
