# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
0 20 840
  1 42 -6.62886e-13
  2 42 -3.05159e-11
  3 42 -3.51194e-11
  4 42 5.60046e-12
  5 42 -1.02557e-11
  6 42 1.57984e-11
  7 42 -2.68771e-11
  8 42 -3.53495e-11
  9 42 -9.99939e-12
  10 42 1.67133e-11
  11 42 -1.8761e-11
  12 42 -1.29847e-11
  13 42 -1.11567e-10
  14 42 -3.12056e-11
  15 42 -5.46316e-12
  16 42 -1.13398e-10
  17 42 3.35757e-11
  18 42 3.04999e-11
  19 42 -5.56635e-11
  20 42 -9.19445e-11
100 20 840
  1 42 0.835193
  2 42 0.413134
  3 42 -0.93009
  4 42 -0.111678
  5 42 1.21868
  6 42 1.81112
  7 42 -0.190886
  8 42 0.365446
  9 42 1.91561
  10 42 -0.312223
  11 42 0.403947
  12 42 0.968058
  13 42 1.928
  14 42 1.61085
  15 42 -2.43467
  16 42 -1.44038
  17 42 0.380013
  18 42 0.814857
  19 42 0.46445
  20 42 0.626314
200 20 840
  1 42 0.203364
  2 42 0.743318
  3 42 1.63205
  4 42 0.0785801
  5 42 1.17407
  6 42 0.0277084
  7 42 1.68381
  8 42 -0.00687489
  9 42 1.05368
  10 42 0.38609
  11 42 -0.944947
  12 42 -0.714537
  13 42 -0.961347
  14 42 0.184737
  15 42 1.43067
  16 42 -0.580573
  17 42 1.88077
  18 42 0.530139
  19 42 3.94704
  20 42 -0.0308308
300 20 840
  1 42 0.573057
  2 42 0.207579
  3 42 -2.79289
  4 42 -0.553296
  5 42 -2.45754
  6 42 -0.288259
  7 42 -0.69736
  8 42 0.548457
  9 42 -0.470151
  10 42 2.84819
  11 42 -0.982955
  12 42 -1.47105
  13 42 1.02719
  14 42 -0.0127039
  15 42 -2.19749
  16 42 -0.514175
  17 42 0.898777
  18 42 2.28657
  19 42 0.27315
  20 42 -0.0469509
400 20 840
  1 42 0.85046
  2 42 0.0760272
  3 42 2.21369
  4 42 0.443141
  5 42 2.05703
  6 42 -1.11004
  7 42 0.616559
  8 42 -0.303937
  9 42 0.370729
  10 42 -1.63175
  11 42 1.52233
