# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
0 20 840
  1 42 0.180641
  2 42 0.180641
  3 42 0.180641
  4 42 0.180641
  5 42 0.180641
  6 42 0.180641
  7 42 0.180641
  8 42 0.180641
  9 42 0.180641
  10 42 0.180641
  11 42 0.180641
  12 42 0.180641
  13 42 0.180641
  14 42 0.180641
  15 42 0.180641
  16 42 0.180641
  17 42 0.180641
  18 42 0.180641
  19 42 0.180641
  20 42 0.180641
100 20 840
  1 42 0.983084
  2 42 0.4188
  3 42 -0.972717
  4 42 0.432003
  5 42 1.84168
  6 42 1.55049
  7 42 0.811281
  8 42 -0.658524
  9 42 0.635788
  10 42 0.305512
  11 42 0.783389
  12 42 1.3796
  13 42 0.3138
  14 42 1.84464
  15 42 -1.61441
  16 42 -0.964229
  17 42 0.434049
  18 42 -0.0462901
  19 42 0.528321
  20 42 -0.619451
200 20 840
  1 42 0.497097
  2 42 0.812663
  3 42 1.7671
  4 42 0.289534
  5 42 1.46583
  6 42 0.190048
  7 42 0.84691
  8 42 -0.404543
  9 42 1.51814
  10 42 -0.134844
  11 42 -0.130811
  12 42 -0.185802
  13 42 0.210879
  14 42 0.519192
  15 42 0.52702
  16 42 -0.244983
  17 42 2.27248
  18 42 0.592629
  19 42 2.62669
  20 42 0.0749457
300 20 840
  1 42 0.743446
  2 42 1.77968
  3 42 -0.386701
  4 42 -0.0488176
  5 42 0.259556
  6 42 -1.06487
  7 42 1.58145
  8 42 -0.127174
  9 42 0.801522
  10 42 0.547617
  11 42 -0.829559
  12 42 -1.41355
  13 42 -0.441122
  14 42 -0.202532
  15 42 -0.5682
  16 42 1.03577
  17 42 -0.345922
  18 42 1.45304
  19 42 -0.808079
  20 42 0.313642
400 20 840
  1 42 1.1899
  2 42 0.379851
  3 42 3.10339
  4 42 -0.833064
  5 42 2.86689
  6 42 -0.881909
  7 42 1.18567
  8 42 -1.12866
  9 42 1.14868
  10 42 -1.68294
  11 42 1.43613
  12 42 0.385302
  13 42 -1.67712
  14 42 -0.452608
  15 42 1.09793
  16 42 1.56029
  17 42 -0.501173
  18 42 0.745577
  19 42 -1.1685
  20 42 1.17475
500 20 840
  1 42 1.80789
  2 42 -0.427645
  3 42 0.244647
  4 42 0.326229
  5 42 0.878559
  6 42 2.60471
  7 42 -1.0119
  8 42 0.24808
  9 42 -0.0946251
  10 42 -0.744944
  11 42 1.51508
  12 42 0.63238
  13 42 0.463954
  14 42 -0.0821216
