# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 840
  1 42 -2.66237e-11
  2 42 -2.55729e-11
  3 42 -2.80555e-11
  4 42 -2.80555e-11
  5 42 -2.71087e-11
  6 42 -2.48038e-11
  7 42 -2.77012e-11
  8 42 -2.63746e-11
  9 42 -2.69597e-11
  10 42 -2.58959e-11
  11 42 -2.61446e-11
  12 42 -2.5636e-11
  13 42 -2.47052e-11
  14 42 -2.64852e-11
  15 42 -2.62323e-11
  16 42 -2.48516e-11
  17 42 -2.68668e-11
  18 42 -2.67722e-11
  19 42 -2.53783e-11
  20 42 -2.65667e-11
100 20 840
  1 42 -0.127511
  2 42 -0.821868
  3 42 -0.0774799
  4 42 -0.0377307
  5 42 -0.215283
  6 42 0.0755912
  7 42 -0.353469
  8 42 0.766558
  9 42 0.314403
  10 42 0.241871
  11 42 0.0541441
  12 42 -0.118529
  13 42 0.388248
  14 42 -0.910272
  15 42 -0.531699
  16 42 0.229115
  17 42 -0.389885
  18 42 0.421907
  19 42 -0.0512933
  20 42 0.10737
200 20 840
  1 42 0.344516
  2 42 -0.395459
  3 42 0.121115
  4 42 -0.115724
  5 42 -0.135099
  6 42 0.11476
  7 42 -0.976474
  8 42 -0.344528
  9 42 0.848609
  10 42 -0.0428238
  11 42 -0.701596
  12 42 0.464646
  13 42 0.265575
  14 42 -0.524675
  15 42 -0.11174
  16 42 0.092318
  17 42 -0.798465
  18 42 0.414858
  19 42 -1.12555
  20 42 0.271523
300 20 840
  1 42 0.832975
  2 42 0.465533
  3 42 -0.159451
  4 42 0.352803
  5 42 0.182395
  6 42 -0.127711
  7 42 0.764201
  8 42 0.10911
  9 42 -1.0177
  10 42 0.0747618
  11 42 0.00315009
  12 42 -0.0517105
  13 42 -0.0217067
  14 42 0.439812
  15 42 0.229409
  16 42 0.0356864
  17 42 0.541144
  18 42 -0.0578314
  19 42 -0.0951481
  20 42 0.184382
400 20 840
  1 42 -0.0832636
  2 42 -0.754057
  3 42 0.109419
  4 42 -0.0210046
  5 42 -0.295939
  6 42 -0.510813
  7 42 0.0978246
  8 42 -0.122362
  9 42 -1.22599
  10 42 -0.00911097
  11 42 0.68497
  12 42 -0.584507
  13 42 -0.0848628
  14 42 0.32449
  15 42 0.154042
  16 42 0.179713
  17 42 0.648952
  18 42 -0.644936
  19 42 -0.0910451
  20 42 0.727058
500 20 840
  1 42 -0.139392
  2 42 -0.724212
  3 42 -0.146897
  4 42 0.275253
  5 42 -0.000611036
  6 42 -0.311356
  7 42 -0.0275288
  8 42 -0.530486
  9 42 0.537415
  10 42 -0.0215147
  11 42 -1.31676
  12 42 -0.125802
  13 42 -0.412705
  14 42 -0.327694
  15 42 0.201382
  16 42 0.130653
  17 42 -0.235116
  18 42 0.0539921
  19 42 -0.280138
  20 42 0.00173716
600 20 840
  1 42 -0.183545
  2 42 -0.709309
  3 42 0.613815
  4 42 -0.149027
  5 42 0.0101239
  6 42 -0.114769
  7 42 0.455416
  8 42 -0.793212
  9 42 0.223249
  10 42 0.664318
  11 42 -0.134914
  12 42 0.349811
  13 42 0.0653293
  14 42 -0.47129
  15 42 0.293513
  16 42 0.147285
  17 42 0.255913
  18 42 0.112719
  19 42 -0.904777
  20 42 0.0382195
700 20 840
  1 42 0.21896
  2 42 -0.12625
  3 42 0.00285084
  4 42 -0.0610476
  5 42 0.300052
  6 42 0.125127
  7 42 0.828714
  8 42 0.0175586
  9 42 -0.291648
  10 42 0.476257
  11 42 0.78642
  12 42 0.567525
  13 42 0.24772
  14 42 -0.459689
  15 42 0.088169
  16 42 0.249062
  17 42 0.576906
  18 42 0.681216
  19 42 0.711957
  20 42 -0.0383725
800 20 840
  1 42 0.0110757
  2 42 -0.0460179
  3 42 -0.199506
  4 42 0.207325
  5 42 0.11629
  6 42 -0.0218814
  7 42 -0.444562
  8 42 -0.797425
  9 42 -0.208706
  10 42 0.595182
  11 42 -0.861308
  12 42 -0.0425092
  13 42 -0.389339
  14 42 -0.24539
  15 42 0.133972
  16 42 -0.203421
  17 42 -0.181658
  18 42 0.681759
  19 42 -0.683561
  20 42 -0.47043
900 20 840
  1 42 -0.170612
  2 42 -0.000462404
  3 42 -0.105962
  4 42 0.152484
  5 42 0.191129
  6 42 -0.158616
  7 42 -0.282066
  8 42 -0.463083
  9 42 0.0287962
  10 42 0.108076
  11 42 -0.595687
  12 42 -0.488179
  13 42 9.92642e-05
  14 42 -0.304908
  15 42 0.0452523
  16 42 -0.0916025
  17 42 -0.294322
  18 42 -0.059701
  19 42 -0.316864
  20 42 0.640873
1000 20 840
  1 42 -0.0862253
  2 42 0.335321
  3 42 0.270242
  4 42 -0.0198078
  5 42 -0.0282231
  6 42 -0.302727
  7 42 -0.0310326
  8 42 -0.218415
  9 42 -0.548386
  10 42 -0.751968
  11 42 -0.173455
  12 42 -0.41401
  13 42 -0.58253
  14 42 -0.133703
  15 42 -0.0130249
  16 42 -0.0936378
  17 42 0.471411
  18 42 0.0123134
  19 42 -0.691217
  20 42 0.231592
1100 20 840
  1 42 -0.252573
  2 42 0.357917
  3 42 0.22857
  4 42 -0.211144
  5 42 -0.132161
  6 42 0.0757287
  7 42 -0.79631
  8 42 -0.199768
  9 42 0.095339
  10 42 -0.70092
  11 42 -0.109609
  12 42 0.0394624
  13 42 -0.275119
  14 42 -0.215777
  15 42 -0.133181
  16 42 0.146517
  17 42 0.180743
  18 42 -0.327408
  19 42 -1.55332
  20 42 0.0301664
1200 20 840
  1 42 -0.162825
  2 42 0.167948
  3 42 0.336088
  4 42 -0.286478
  5 42 -0.145679
  6 42 -0.00135491
  7 42 0.18754
  8 42 -0.0981128
  9 42 -0.610449
  10 42 -0.218507
  11 42 -0.357994
  12 42 0.0195079
  13 42 0.474575
  14 42 0.0873923
  15 42 -0.00551757
  16 42 -0.547157
  17 42 0.0540639
  18 42 0.132415
  19 42 0.377026
  20 42 0.340023
1300 20 840
  1 42 -0.214467
  2 42 0.227228
  3 42 -1.22116
  4 42 -0.425007
  5 42 -0.122839
  6 42 -0.00104883
  7 42 -0.32363
  8 42 0.0590284
