# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 840
  1 42 -7.41317e-11
  2 42 -7.04096e-11
  3 42 -6.98927e-11
  4 42 -6.82909e-11
  5 42 -6.89835e-11
  6 42 -7.26814e-11
  7 42 -7.08546e-11
  8 42 -6.89706e-11
  9 42 -6.99581e-11
  10 42 -5.02375e-11
  11 42 -6.7897e-11
  12 42 -5.46487e-11
  13 42 -6.79616e-11
  14 42 -6.95124e-11
  15 42 -6.89369e-11
  16 42 -6.86181e-11
  17 42 -6.7052e-11
  18 42 -6.77296e-11
  19 42 -7.03534e-11
  20 42 -6.36535e-11
100 20 840
  1 42 0.392659
  2 42 -2.03476
  3 42 -2.50858
  4 42 -2.61304
  5 42 -2.29813
  6 42 -0.197827
  7 42 0.484393
  8 42 0.592709
  9 42 1.34209
  10 42 0.425302
  11 42 0.229648
  12 42 0.528941
  13 42 -2.12873
  14 42 0.452065
  15 42 -1.86285
  16 42 -0.123526
  17 42 1.4516
  18 42 -0.382888
  19 42 -1.08189
  20 42 -1.28607
200 20 840
  1 42 -1.29495
  2 42 -1.75319
  3 42 -1.69158
  4 42 -2.85341
  5 42 -0.72946
  6 42 -2.4634
  7 42 0.365757
  8 42 1.45502
  9 42 -0.0909817
  10 42 -3.41714
  11 42 -0.893759
  12 42 0.155865
  13 42 -1.61573
  14 42 -0.957182
  15 42 1.26116
  16 42 1.11674
  17 42 -0.585149
  18 42 -1.04096
  19 42 -0.646143
  20 42 -0.0543499
300 20 840
  1 42 -0.732971
  2 42 -0.254298
  3 42 -1.15516
  4 42 -2.08882
  5 42 -1.13257
  6 42 0.243105
  7 42 -1.28391
  8 42 -2.3175
  9 42 0.6769
  10 42 0.303613
  11 42 1.47919
  12 42 0.39702
  13 42 0.631893
  14 42 0.542177
  15 42 1.38216
  16 42 -1.26243
  17 42 -1.84209
  18 42 -0.880946
  19 42 -2.53401
  20 42 -0.63551
400 20 840
  1 42 0.512269
  2 42 0.383947
  3 42 1.00514
  4 42 1.08179
  5 42 0.764607
  6 42 0.759675
  7 42 0.95063
  8 42 -2.72514
  9 42 -0.259506
  10 42 -0.230756
  11 42 0.625591
  12 42 -0.583187
  13 42 1.3758
  14 42 -1.31542
  15 42 -0.296774
  16 42 -3.11936
  17 42 -0.953875
  18 42 -0.569561
  19 42 -0.494855
  20 42 -1.48686
500 20 840
  1 42 -0.2674
  2 42 -2.96564
  3 42 0.751699
  4 42 1.24674
  5 42 1.4891
  6 42 0.123704
  7 42 -0.661743
  8 42 -1.76219
  9 42 -0.173028
  10 42 -0.997736
  11 42 -0.149781
  12 42 0.313207
  13 42 0.205655
  14 42 -1.26871
  15 42 -1.22436
  16 42 -0.917207
  17 42 -0.796809
  18 42 -1.87601
  19 42 -1.94132
  20 42 0.0935375
600 20 840
  1 42 0.930619
  2 42 -1.20955
  3 42 -0.511611
  4 42 1.18696
  5 42 0.122233
  6 42 0.542389
  7 42 -1.21834
  8 42 0.924745
  9 42 -0.886521
  10 42 -3.13052
  11 42 0.855581
  12 42 -0.502994
  13 42 -1.48042
  14 42 0.631027
  15 42 2.11036
  16 42 0.357666
  17 42 1.22983
  18 42 -0.848867
  19 42 0.863741
  20 42 -1.25535
700 20 840
  1 42 0.339546
  2 42 -0.749392
  3 42 -3.25539
  4 42 0.137843
  5 42 -1.08973
  6 42 -0.641757
  7 42 -1.52925
  8 42 -0.337328
  9 42 -0.171117
  10 42 -1.82123
  11 42 -0.203508
  12 42 1.31623
  13 42 -0.18436
  14 42 0.71706
  15 42 -0.0468042
  16 42 -0.903553
  17 42 0.146108
  18 42 0.150982
  19 42 -0.888741
  20 42 -1.43634
800 20 840
  1 42 1.82151
  2 42 0.769391
  3 42 1.28141
  4 42 1.40994
  5 42 0.133913
  6 42 -1.2906
  7 42 0.455564
  8 42 0.726617
  9 42 -1.35367
  10 42 1.3168
  11 42 -1.09245
  12 42 1.4049
  13 42 0.392516
  14 42 -0.0900883
  15 42 1.01911
  16 42 1.05534
  17 42 -1.77766
  18 42 -0.174551
  19 42 -1.22382
  20 42 0.611263
900 20 840
  1 42 0.0408511
  2 42 0.385094
  3 42 2.43509
  4 42 -0.367212
  5 42 1.10997
  6 42 0.209727
  7 42 0.326028
  8 42 -2.30043
  9 42 0.881554
  10 42 1.27168
  11 42 -0.79106
  12 42 1.93616
  13 42 0.523029
  14 42 -0.296143
  15 42 0.245099
  16 42 -0.240372
  17 42 -0.108929
  18 42 1.66667
  19 42 -1.62755
  20 42 0.159316
1000 20 840
  1 42 -0.255641
  2 42 1.57891
  3 42 0.770839
  4 42 0.257805
  5 42 -1.06486
  6 42 0.871683
  7 42 0.255371
  8 42 -0.621461
  9 42 -2.60828
  10 42 -2.04408
  11 42 1.03651
  12 42 -0.0323993
  13 42 -0.0120315
  14 42 0.373721
  15 42 -0.372442
  16 42 -0.980929
  17 42 0.0437193
  18 42 1.85527
  19 42 -0.834038
  20 42 2.97933
1100 20 840
  1 42 -0.261017
  2 42 -1.1042
  3 42 -2.64224
  4 42 1.26979
  5 42 -0.838296
  6 42 -1.41728
  7 42 -1.19699
  8 42 -0.630012
  9 42 -1.77066
  10 42 -0.822613
  11 42 0.0151865
  12 42 0.71202
  13 42 1.31101
  14 42 -3.34729
  15 42 2.08174
  16 42 -1.27161
  17 42 -0.324099
  18 42 -0.262005
  19 42 -1.9203
  20 42 1.11567
1200 20 840
  1 42 0.31162
  2 42 -0.313133
  3 42 0.154356
  4 42 2.07245
  5 42 -1.60247
  6 42 -1.02627
  7 42 -0.0845291
  8 42 -0.822315
  9 42 0.418781
  10 42 0.574441
  11 42 0.328592
  12 42 0.131648
  13 42 1.15035
  14 42 0.347665
  15 42 0.248127
  16 42 -1.61461
  17 42 0.522754
  18 42 0.35126
  19 42 -0.392416
  20 42 -1.23636
1300 20 840
  1 42 0.814095
  2 42 -0.817788
  3 42 -1.63054
  4 42 -2.52888
  5 42 0.360923
  6 42 0.842377
  7 42 0.962094
  8 42 -1.24409
  9 42 4.2725
  10 42 2.77681
  11 42 -1.48505
  12 42 0.213032
  13 42 0.400688
  14 42 -0.306706
  15 42 -0.154681
  16 42 0.307668
  17 42 -0.976994
  18 42 -2.35733
  19 42 0.0606711
  20 42 -1.18721
1400 20 840
  1 42 0.131601
  2 42 -0.48677
  3 42 -2.28244
  4 42 -1.32313
  5 42 0.576146
  6 42 0.273693
  7 42 0.0584477
  8 42 1.41125
  9 42 1.27379
  10 42 -0.221328
  11 42 -3.1307
  12 42 -2.00893
  13 42 0.127089
  14 42 1.37116
  15 42 -1.59788
  16 42 1.79242
  17 42 0.00663502
  18 42 -4.49855
  19 42 -0.44409
  20 42 3.66409
1500 20 840
  1 42 -1.50468
  2 42 -1.02748
  3 42 -0.880565
  4 42 -1.06389
  5 42 -1.06358
  6 42 -0.8428
  7 42 1.71589
  8 42 0.470394
  9 42 0.732909
  10 42 0.721903
  11 42 -0.723991
  12 42 0.454575
  13 42 -2.02262
  14 42 2.17557
  15 42 -0.714731
  16 42 0.602454
  17 42 0.626267
  18 42 -0.360216
  19 42 -0.714431
  20 42 -0.637797
1600 20 840
  1 42 -0.703222
  2 42 1.60478
  3 42 2.35525
  4 42 0.457314
  5 42 -0.877876
  6 42 0.592363
  7 42 0.656608
  8 42 1.65876
  9 42 -2.99549
  10 42 -4.05894
  11 42 1.86568
  12 42 -0.72749
  13 42 -0.726251
  14 42 2.29451
  15 42 -0.237957
  16 42 0.489905
  17 42 1.84331
  18 42 1.93937
  19 42 -0.901059
  20 42 -1.74246
1700 20 840
  1 42 -0.661475
  2 42 0.0574551
  3 42 1.30274
  4 42 -0.234763
  5 42 2.0928
  6 42 0.561426
  7 42 -0.322413
  8 42 0.797389
  9 42 -1.06756
  10 42 -0.763266
  11 42 -0.884647
  12 42 -1.59499
  13 42 -0.262109
  14 42 -3.62152
  15 42 3.66871
  16 42 1.17468
  17 42 -2.03702
  18 42 -0.305095
  19 42 -0.673162
  20 42 -0.42821
1800 20 840
  1 42 -0.35081
  2 42 1.31134
  3 42 -0.499872
  4 42 0.992132
  5 42 2.62767
  6 42 -0.532618
  7 42 0.0115044
  8 42 0.0594642
  9 42 1.35509
  10 42 -0.610703
  11 42 -0.866371
  12 42 -1.68954
  13 42 0.657181
  14 42 -1.63311
  15 42 -0.0406925
  16 42 -0.712231
  17 42 1.27308
  18 42 1.00028
  19 42 -1.45177
  20 42 -0.19413
1900 20 840
  1 42 -1.18741
  2 42 -0.229803
  3 42 0.808869
  4 42 -1.48132
  5 42 -0.0747328
  6 42 -0.103442
  7 42 -2.07342
  8 42 0.644934
  9 42 0.0905248
  10 42 -0.176807
  11 42 0.0240277
  12 42 -0.405229
  13 42 0.483371
  14 42 -0.656162
  15 42 -1.94847
  16 42 0.391947
  17 42 0.155828
  18 42 0.434427
  19 42 1.70846
  20 42 0.408148
2000 20 840
  1 42 0.595751
  2 42 0.166094
  3 42 -1.73676
  4 42 -2.85712
  5 42 -0.696435
  6 42 0.263878
  7 42 -0.773596
  8 42 0.0885632
  9 42 0.160941
  10 42 -2.07014
  11 42 0.403363
  12 42 -2.11203
  13 42 -0.401911
  14 42 -0.571922
  15 42 -2.42783
  16 42 -0.128191
  17 42 -0.0990827
  18 42 -2.21613
  19 42 0.813279
  20 42 1.49798
2100 20 840
  1 42 0.56616
  2 42 0.365124
  3 42 -1.53591
  4 42 -0.534573
  5 42 -1.2969
  6 42 0.182983
  7 42 2.11202
  8 42 1.03517
  9 42 0.309283
