# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 840
  1 42 6.94366e-14
  2 42 2.15272e-12
  3 42 1.01521e-11
  4 42 1.01521e-11
  5 42 1.70982e-12
  6 42 3.13867e-12
  7 42 -2.71205e-14
  8 42 2.38878e-12
  9 42 3.15221e-12
  10 42 2.21993e-12
  11 42 3.81273e-12
  12 42 8.62771e-12
  13 42 5.36062e-12
  14 42 3.48267e-12
  15 42 6.15251e-12
  16 42 1.96307e-12
  17 42 3.8042e-12
  18 42 5.64026e-12
  19 42 4.76512e-12
  20 42 5.36062e-12
100 20 840
  1 42 -0.898131
  2 42 -0.357317
  3 42 -1.36732
  4 42 -2.36194
  5 42 -0.605585
  6 42 -0.511985
  7 42 -0.390218
  8 42 1.50412
  9 42 0.923999
  10 42 1.0606
  11 42 1.06901
  12 42 0.320832
  13 42 -0.127811
  14 42 0.0429877
  15 42 -1.12716
  16 42 1.16144
  17 42 1.0509
  18 42 0.180789
  19 42 -1.20517
  20 42 -1.22888
200 20 840
  1 42 -1.45542
  2 42 -2.32566
  3 42 -2.76178
  4 42 -2.48835
  5 42 0.199513
  6 42 -1.26144
  7 42 -0.605356
  8 42 1.44808
  9 42 1.83045
  10 42 0.206816
  11 42 -3.52522
  12 42 1.95183
  13 42 -1.24331
  14 42 0.761669
  15 42 0.733873
  16 42 1.48848
  17 42 -1.61598
  18 42 -0.649524
  19 42 -1.39952
  20 42 -0.785086
300 20 840
  1 42 -1.05073
  2 42 -0.418934
  3 42 0.42994
  4 42 -0.169635
  5 42 -0.00625214
  6 42 -0.745826
  7 42 0.598431
  8 42 0.717346
  9 42 0.623244
  10 42 -0.655584
  11 42 -0.701484
  12 42 1.53573
  13 42 0.642589
  14 42 0.316781
  15 42 0.417013
  16 42 1.03336
  17 42 -0.0291853
  18 42 0.412534
  19 42 -0.0306869
  20 42 -0.0370926
400 20 840
  1 42 -0.599067
  2 42 1.04234
  3 42 0.847294
  4 42 0.690074
  5 42 -0.844677
  6 42 -0.393898
  7 42 2.55059
  8 42 -0.0384501
  9 42 -1.35543
  10 42 -1.31446
  11 42 1.99485
  12 42 -0.290036
  13 42 1.38656
  14 42 -0.367592
  15 42 1.13113
  16 42 -1.69959
  17 42 -1.17105
  18 42 1.02238
  19 42 1.18099
  20 42 -0.995249
500 20 840
  1 42 0.358231
  2 42 -0.637925
  3 42 0.963709
  4 42 2.23373
  5 42 0.339833
  6 42 0.820705
  7 42 -1.71256
  8 42 -1.00462
  9 42 -0.998221
  10 42 0.403831
  11 42 0.593212
  12 42 0.00753086
  13 42 0.594916
  14 42 0.0904463
  15 42 1.3461
  16 42 -0.335286
  17 42 -1.48613
  18 42 1.31004
  19 42 -0.297474
  20 42 0.639878
600 20 840
  1 42 -0.364085
  2 42 -0.180691
  3 42 -2.81917
  4 42 -0.112709
  5 42 -0.334686
  6 42 0.53121
  7 42 0.812746
  8 42 -0.0256039
  9 42 -0.249957
  10 42 -0.328331
  11 42 0.674977
  12 42 1.33161
  13 42 -0.656326
  14 42 1.17799
  15 42 1.71012
  16 42 -0.734564
  17 42 0.0224756
  18 42 0.250469
  19 42 0.0551005
  20 42 -0.540646
700 20 840
  1 42 0.422626
  2 42 -0.445483
  3 42 -1.43976
  4 42 -0.506909
  5 42 0.050596
  6 42 0.51983
  7 42 -0.00883025
  8 42 0.0337241
  9 42 -1.98199
  10 42 1.1742
  11 42 -1.07702
  12 42 1.0488
  13 42 -0.0277458
  14 42 1.97864
  15 42 -0.766093
  16 42 -0.613676
  17 42 0.881269
  18 42 0.382548
  19 42 0.962714
  20 42 -1.34127
800 20 840
  1 42 0.5816
  2 42 -0.00665131
  3 42 -0.592681
  4 42 -1.32149
  5 42 0.733717
  6 42 -1.74875
  7 42 -2.09133
  8 42 -1.08259
  9 42 -1.91172
  10 42 2.07108
  11 42 -0.318635
  12 42 -0.659796
  13 42 -1.49433
  14 42 -3.7169
  15 42 1.1343
  16 42 1.11417
  17 42 -2.31648
  18 42 -1.32606
  19 42 -2.76814
  20 42 1.06777
900 20 840
  1 42 0.436166
  2 42 2.10382
  3 42 2.26314
  4 42 0.393515
  5 42 0.480716
  6 42 -0.00391163
  7 42 -0.0497489
  8 42 -0.249712
  9 42 -2.39589
  10 42 1.63066
  11 42 -0.847476
  12 42 -0.701567
  13 42 0.608824
  14 42 -1.8957
  15 42 -0.229937
  16 42 0.715613
  17 42 0.980567
  18 42 0.838992
  19 42 -0.383245
  20 42 0.374749
1000 20 840
  1 42 0.336619
  2 42 1.50065
  3 42 -0.716166
  4 42 0.5838
  5 42 -0.560084
  6 42 0.276998
  7 42 -1.15649
  8 42 0.207362
  9 42 0.34225
  10 42 -0.429216
  11 42 0.523843
  12 42 -0.173694
  13 42 0.885811
  14 42 -1.03543
  15 42 1.18608
  16 42 -0.0512044
  17 42 1.13201
  18 42 0.56593
  19 42 -0.17505
  20 42 -1.29564
1100 20 840
  1 42 0.748202
  2 42 -1.32978
  3 42 -0.583524
  4 42 -0.59511
  5 42 0.154842
  6 42 1.10247
  7 42 1.43345
  8 42 1.63103
  9 42 0.0987394
  10 42 -2.47268
  11 42 0.00614678
  12 42 -1.11465
  13 42 -0.427555
  14 42 -0.243472
  15 42 0.520729
  16 42 0.117192
  17 42 -0.34267
  18 42 0.936405
  19 42 -0.285902
  20 42 1.95293
1200 20 840
  1 42 0.919128
  2 42 1.30915
  3 42 -0.767132
  4 42 -0.00252937
  5 42 -0.156785
  6 42 -1.80573
  7 42 0.855999
  8 42 1.19706
  9 42 0.150461
  10 42 -0.425305
  11 42 0.492408
  12 42 0.198051
  13 42 -1.97228
  14 42 -0.114225
  15 42 0.795631
  16 42 -0.0459474
  17 42 -0.467853
  18 42 1.78087
  19 42 -1.03532
  20 42 -0.498299
1300 20 840
  1 42 0.102863
  2 42 -0.106104
  3 42 -0.828928
  4 42 0.0367623
  5 42 0.573741
  6 42 -0.837594
  7 42 -0.131351
  8 42 -0.226933
  9 42 -1.62337
  10 42 -0.0210442
  11 42 -0.246339
  12 42 1.59817
  13 42 -0.162208
  14 42 1.30614
  15 42 0.0445783
  16 42 0.0115978
  17 42 2.35095
  18 42 0.193367
  19 42 0.114385
  20 42 1.34913
1400 20 840
  1 42 -0.946047
  2 42 -0.672827
  3 42 -1.84092
  4 42 -0.277863
  5 42 0.476945
  6 42 -0.841469
  7 42 -1.73757
  8 42 0.552932
  9 42 -1.53076
  10 42 0.666399
  11 42 -0.805362
  12 42 0.792764
  13 42 -1.125
  14 42 0.240813
  15 42 0.657272
  16 42 0.301457
  17 42 0.373954
  18 42 -1.99797
  19 42 -0.283694
  20 42 0.745228
1500 20 840
  1 42 -0.91776
  2 42 0.948168
  3 42 0.962033
  4 42 -1.61382
  5 42 -1.14066
  6 42 1.17428
  7 42 1.50235
  8 42 -0.626212
  9 42 -2.32574
  10 42 -0.211744
  11 42 1.38965
  12 42 1.10921
  13 42 0.313983
  14 42 1.26736
  15 42 -1.48442
  16 42 0.63048
  17 42 -0.0449397
  18 42 -1.00981
  19 42 1.37566
  20 42 1.72517
1600 20 840
  1 42 0.316807
  2 42 0.112694
  3 42 -0.146873
  4 42 -0.698541
  5 42 -1.3444
  6 42 0.813516
  7 42 -0.872031
  8 42 -0.0881708
  9 42 0.753992
  10 42 -2.13133
  11 42 1.48182
  12 42 -1.70255
  13 42 0.0425258
  14 42 0.152241
  15 42 -0.768745
  16 42 -0.317554
  17 42 -1.29772
  18 42 0.896001
  19 42 -0.444871
  20 42 -1.29919
1700 20 840
  1 42 0.510192
  2 42 -1.78522
  3 42 -3.9719
  4 42 0.191711
  5 42 0.161795
  6 42 0.508673
  7 42 -0.286338
  8 42 -0.197631
  9 42 1.00101
  10 42 -0.530146
