# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 640
  1 32 -9.53425e-11
  2 32 -8.66917e-11
  3 32 -8.82617e-11
  4 32 -9.68571e-11
  5 32 -8.69907e-11
  6 32 -1.09943e-10
  7 32 -9.19162e-11
  8 32 -8.83001e-11
  9 32 -8.95372e-11
  10 32 -9.67375e-11
  11 32 -8.87972e-11
  12 32 -8.29538e-11
  13 32 -1.00025e-10
  14 32 -8.88877e-11
  15 32 -9.99873e-11
  16 32 -8.08615e-11
  17 32 -8.69952e-11
  18 32 -8.38995e-11
  19 32 -9.05882e-11
  20 32 -1.03559e-10
100 20 640
  1 32 -0.325296
  2 32 0.245244
  3 32 0.491358
  4 32 -0.633502
  5 32 -0.394051
  6 32 -1.03764
  7 32 0.644498
  8 32 -0.243063
  9 32 -0.042737
  10 32 0.538348
  11 32 0.206443
  12 32 0.177776
  13 32 -1.73241
  14 32 -0.774424
  15 32 1.27436
  16 32 0.200643
  17 32 0.136578
  18 32 0.247552
  19 32 0.442843
  20 32 -0.0388938
200 20 640
  1 32 -0.50494
  2 32 0.0963053
  3 32 0.937574
  4 32 -2.30155
  5 32 -0.924142
  6 32 -1.88797
  7 32 0.911536
  8 32 -0.470102
  9 32 -0.269788
  10 32 0.587048
  11 32 -0.000288375
  12 32 0.0882812
  13 32 -2.83424
  14 32 -1.88286
  15 32 1.16468
  16 32 -0.230816
  17 32 -0.0857339
  18 32 0.00684265
  19 32 0.869479
  20 32 0.0521126
300 20 640
  1 32 -0.39432
  2 32 0.35393
  3 32 1.10295
  4 32 -3.13051
  5 32 -1.2056
  6 32 -2.37784
  7 32 0.91294
  8 32 -0.29415
  9 32 -0.303321
  10 32 0.96254
  11 32 -0.376084
  12 32 0.508356
  13 32 -3.12958
  14 32 -2.64076
  15 32 1.18444
  16 32 -0.48266
  17 32 -0.543305
  18 32 -0.159379
  19 32 1.53108
  20 32 -0.0203947
400 20 640
  1 32 -0.454927
  2 32 0.0887053
  3 32 0.971107
  4 32 -2.97407
  5 32 -1.06937
  6 32 -2.53438
  7 32 1.01924
  8 32 -0.0142209
  9 32 -0.359379
  10 32 0.816918
  11 32 -0.66672
  12 32 0.149453
  13 32 -3.21228
  14 32 -2.96972
  15 32 0.808773
  16 32 -0.830271
  17 32 -0.715546
  18 32 -0.144744
  19 32 1.95704
  20 32 0.0250439
500 20 640
  1 32 -0.830006
  2 32 -0.060593
  3 32 0.806008
