# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 640
  1 32 -8.13048
  2 32 -8.13048
  3 32 -8.13048
  4 32 -8.13048
  5 32 -8.13048
  6 32 -8.13048
  7 32 -8.13048
  8 32 -8.13048
  9 32 -8.13048
  10 32 -8.13048
  11 32 -8.13048
  12 32 -8.13048
  13 32 -8.13048
  14 32 -8.13048
  15 32 -8.13048
  16 32 -8.13048
  17 32 -8.13048
  18 32 -8.13048
  19 32 -8.13048
  20 32 -8.13048
100 20 640
  1 32 -8.44461
  2 32 -8.92078
  3 32 -6.28618
  4 32 -6.02728
  5 32 -9.79241
  6 32 -9.68522
  7 32 -5.83012
  8 32 -9.36958
  9 32 -9.21302
  10 32 -7.05351
  11 32 -9.4009
  12 32 -7.5288
  13 32 -9.95072
  14 32 -8.01948
  15 32 -8.90757
  16 32 -7.28889
  17 32 -9.14065
  18 32 -9.53273
  19 32 -8.12693
  20 32 -9.00639
200 20 640
  1 32 -7.95004
  2 32 -9.34702
  3 32 -5.31452
  4 32 -5.28681
  5 32 -10.7952
  6 32 -10.4431
  7 32 -4.59994
  8 32 -10.7688
  9 32 -10.3905
  10 32 -6.15991
  11 32 -10.0481
  12 32 -7.05315
  13 32 -11.0572
  14 32 -8.20374
  15 32 -10.9817
  16 32 -5.59678
  17 32 -10.438
  18 32 -10.3082
  19 32 -8.03615
  20 32 -10.1597
300 20 640
  1 32 -8.89057
  2 32 -10.0631
  3 32 -4.76157
  4 32 -5.01255
  5 32 -12.3482
  6 32 -11.0152
  7 32 -3.56822
  8 32 -11.8503
  9 32 -11.0551
  10 32 -5.61807
  11 32 -11.5697
  12 32 -6.92199
  13 32 -12.0846
  14 32 -7.87573
  15 32 -11.8508
  16 32 -4.67168
  17 32 -11.2878
  18 32 -11.2308
  19 32 -7.51734
  20 32 -11.0396
400 20 640
  1 32 -8.54428
  2 32 -9.69383
  3 32 -4.20479
  4 32 -4.23675
  5 32 -12.1136
  6 32 -11.3928
  7 32 -3.22525
  8 32 -12.1373
  9 32 -11.4165
  10 32 -5.67917
  11 32 -11.2502
  12 32 -6.96911
  13 32 -12.4464
  14 32 -7.62277
  15 32 -11.5579
  16 32 -4.73459
  17 32 -10.6642
  18 32 -10.9417
  19 32 -7.46813
  20 32 -11.4699
500 20 640
  1 32 -8.54253
  2 32 -9.73425
  3 32 -4.66372
  4 32 -3.98093
  5 32 -11.949
  6 32 -10.8602
  7 32 -3.84078
  8 32 -12.048
  9 32 -11.9518
  10 32 -5.92095
  11 32 -11.3738
  12 32 -7.87009
  13 32 -11.5804
  14 32 -7.88697
  15 32 -11.0554
  16 32 -5.90208
  17 32 -10.805
  18 32 -11.1564
  19 32 -6.74
  20 32 -11.1768
600 20 640
  1 32 -8.31468
  2 32 -9.23221
  3 32 -6.25787
  4 32 -5.93364
  5 32 -11.5275
  6 32 -10.2234
  7 32 -5.83933
  8 32 -11.7405
  9 32 -11.2071
  10 32 -6.72023
  11 32 -10.8424
  12 32 -8.07941
  13 32 -10.4246
  14 32 -8.2771
  15 32 -10.3616
  16 32 -6.61298
  17 32 -10.3235
  18 32 -10.939
  19 32 -6.78853
  20 32 -10.364
700 20 640
  1 32 -7.92175
  2 32 -8.61273
  3 32 -7.83071
  4 32 -7.73644
  5 32 -10.1007
  6 32 -8.76832
  7 32 -7.26113
  8 32 -10.6853
  9 32 -9.99618
  10 32 -8.15252
  11 32 -9.45313
  12 32 -9.20582
  13 32 -9.15046
  14 32 -8.07916
  15 32 -9.85387
  16 32 -7.78073
  17 32 -9.20359
  18 32 -9.40177
  19 32 -7.10528
  20 32 -9.71963
800 20 640
  1 32 -8.09311
  2 32 -8.33513
  3 32 -8.97357
  4 32 -8.99974
  5 32 -8.78638
  6 32 -8.30717
  7 32 -8.87417
  8 32 -9.41071
  9 32 -8.92402
  10 32 -8.81047
  11 32 -8.81288
  12 32 -9.68207
  13 32 -7.98439
  14 32 -8.63656
  15 32 -8.19827
  16 32 -9.16701
  17 32 -8.89206
  18 32 -8.46591
  19 32 -7.50928
  20 32 -8.73299
900 20 640
  1 32 -7.95377
  2 32 -7.34506
  3 32 -9.90877
  4 32 -10.3705
  5 32 -7.13696
  6 32 -7.44578
  7 32 -10.9036
  8 32 -7.57738
  9 32 -7.49727
  10 32 -9.29776
  11 32 -6.53807
  12 32 -9.33605
  13 32 -6.23429
  14 32 -9.05401
  15 32 -7.38865
  16 32 -10.1098
  17 32 -7.0563
  18 32 -6.98988
  19 32 -8.4177
  20 32 -7.29244
1000 20 640
  1 32 -8.11879
  2 32 -7.83478
  3 32 -10.8125
  4 32 -11.6398
  5 32 -6.33957
  6 32 -6.71607
  7 32 -12.1003
  8 32 -5.86265
  9 32 -5.70482
  10 32 -10.3356
  11 32 -6.36612
  12 32 -9.47759
  13 32 -5.99396
  14 32 -9.3698
  15 32 -6.76848
  16 32 -10.4831
  17 32 -6.78391
  18 32 -6.58751
  19 32 -9.26365
  20 32 -6.65832
1100 20 640
  1 32 -8.65418
  2 32 -7.82716
  3 32 -11.7436
  4 32 -12.3062
  5 32 -5.11377
  6 32 -6.98306
  7 32 -12.1577
  8 32 -5.09686
  9 32 -3.80114
  10 32 -10.4382
  11 32 -5.33849
  12 32 -8.80352
  13 32 -5.77481
  14 32 -9.36092
  15 32 -6.13841
  16 32 -11.0414
  17 32 -5.82313
  18 32 -5.62543
  19 32 -10.2541
  20 32 -5.67797
1200 20 640
  1 32 -8.45816
  2 32 -7.45629
  3 32 -11.9544
  4 32 -12.8158
  5 32 -4.26238
  6 32 -5.94858
  7 32 -12.4102
  8 32 -4.06688
  9 32 -3.79486
  10 32 -10.2267
  11 32 -5.20452
  12 32 -8.72276
  13 32 -5.40525
  14 32 -9.19106
  15 32 -6.24422
  16 32 -11.2483
  17 32 -5.73331
  18 32 -5.0754
  19 32 -10.5421
  20 32 -5.3956
1300 20 640
  1 32 -8.45576
  2 32 -7.53778
  3 32 -11.4478
  4 32 -11.8618
  5 32 -5.07869
  6 32 -6.82063
  7 32 -12.0028
  8 32 -4.56532
  9 32 -4.08953
  10 32 -9.8326
  11 32 -5.82373
  12 32 -7.89939
  13 32 -5.8583
  14 32 -8.93046
  15 32 -6.13536
  16 32 -10.1362
  17 32 -5.81296
  18 32 -5.66283
  19 32 -11.177
  20 32 -5.86879
1400 20 640
  1 32 -8.74756
  2 32 -7.7414
  3 32 -10.9087
  4 32 -10.4347
  5 32 -5.85309
  6 32 -6.73903
  7 32 -10.7361
  8 32 -5.34202
  9 32 -5.02934
  10 32 -9.67605
  11 32 -5.62035
  12 32 -7.73358
  13 32 -6.72945
  14 32 -8.70436
  15 32 -6.24087
  16 32 -9.37279
  17 32 -6.18841
  18 32 -6.39915
  19 32 -11.16
  20 32 -6.55422
1500 20 640
  1 32 -8.71493
  2 32 -8.26093
  3 32 -9.34012
  4 32 -9.42903
  5 32 -7.21948
  6 32 -7.31387
  7 32 -9.18856
  8 32 -6.84577
  9 32 -6.64137
  10 32 -9.28456
  11 32 -7.12251
  12 32 -7.87235
  13 32 -7.34303
  14 32 -8.17701
  15 32 -7.02183
  16 32 -9.23729
  17 32 -7.69943
  18 32 -6.99321
  19 32 -10.484
  20 32 -7.60096
1600 20 640
  1 32 -8.36857
  2 32 -7.81189
  3 32 -8.7259
  4 32 -8.00195
  5 32 -8.19455
  6 32 -8.02545
  7 32 -8.02086
  8 32 -8.45436
  9 32 -8.62221
  10 32 -8.65597
  11 32 -7.73447
  12 32 -7.95326
  13 32 -7.68961
  14 32 -8.48559
  15 32 -7.5417
  16 32 -8.16667
  17 32 -7.73205
  18 32 -8.29237
  19 32 -9.37303
  20 32 -8.0875
1700 20 640
  1 32 -7.72787
  2 32 -8.72715
  3 32 -7.97823
  4 32 -7.29504
  5 32 -9.15804
  6 32 -8.8742
  7 32 -7.13867
  8 32 -10.0005
  9 32 -11.0507
  10 32 -7.70719
  11 32 -9.7711
  12 32 -8.17511
  13 32 -8.76515
  14 32 -8.56319
  15 32 -8.94266
  16 32 -7.03397
  17 32 -9.77648
  18 32 -9.55557
  19 32 -7.47583
  20 32 -9.29497
1800 20 640
  1 32 -8.30017
  2 32 -8.80912
  3 32 -6.5247
  4 32 -5.83601
  5 32 -10.8432
  6 32 -10.1828
  7 32 -5.80761
  8 32 -11.1554
  9 32 -12.76
  10 32 -7.41939
  11 32 -10.7056
  12 32 -8.41
  13 32 -9.88149
  14 32 -8.05802
  15 32 -9.01312
  16 32 -6.64955
  17 32 -10.2037
  18 32 -10.4651
  19 32 -6.66303
  20 32 -10.5362
1900 20 640
  1 32 -8.42447
  2 32 -8.71161
  3 32 -4.85496
  4 32 -4.85342
  5 32 -11.4549
  6 32 -10.6193
  7 32 -4.24629
  8 32 -11.937
  9 32 -13.8955
  10 32 -6.73271
  11 32 -11.0479
  12 32 -8.72194
  13 32 -10.5411
  14 32 -8.3489
  15 32 -10.0362
  16 32 -5.91036
  17 32 -11.0651
  18 32 -11.4611
  19 32 -5.31623
  20 32 -10.891
2000 20 640
  1 32 -8.09384
  2 32 -9.1015
  3 32 -5.15558
  4 32 -4.91115
  5 32 -11.3446
  6 32 -11.2151
  7 32 -4.67694
  8 32 -11.8899
  9 32 -13.456
  10 32 -6.62759
  11 32 -11.6554
  12 32 -8.53037
  13 32 -11.3007
  14 32 -7.991
  15 32 -10.9405
  16 32 -5.52225
  17 32 -11.641
  18 32 -11.3616
  19 32 -5.6493
  20 32 -10.8711
2100 20 640
  1 32 -8.47321
  2 32 -8.97697
  3 32 -5.12073
  4 32 -4.5599
  5 32 -11.346
  6 32 -11.1278
  7 32 -3.96944
  8 32 -11.3117
  9 32 -12.3769
  10 32 -6.53265
  11 32 -11.2143
  12 32 -8.078
  13 32 -11.8737
  14 32 -7.96293
  15 32 -10.8825
  16 32 -5.50588
  17 32 -10.4448
  18 32 -10.4623
  19 32 -6.35886
  20 32 -10.2862
2200 20 640
  1 32 -8.84521
  2 32 -9.21439
  3 32 -5.49957
  4 32 -6.14637
  5 32 -10.5515
  6 32 -10.5732
  7 32 -4.4549
  8 32 -10.5145
  9 32 -11.1398
  10 32 -6.34079
  11 32 -11.0387
  12 32 -7.4171
  13 32 -12.0238
  14 32 -8.30704
  15 32 -10.7781
  16 32 -6.44495
  17 32 -10.0363
  18 32 -10.5417
  19 32 -6.3732
  20 32 -10.0359
2300 20 640
  1 32 -8.8344
  2 32 -8.70237
  3 32 -5.82246
  4 32 -6.68764
  5 32 -10.4145
  6 32 -10.3257
  7 32 -5.6674
  8 32 -10.3392
  9 32 -9.30773
  10 32 -6.68826
  11 32 -9.80961
  12 32 -7.97563
  13 32 -10.8924
  14 32 -8.27767
  15 32 -10.2392
  16 32 -6.45992
  17 32 -8.69836
  18 32 -10.5819
  19 32 -8.00262
  20 32 -9.31131
2400 20 640
  1 32 -8.23573
  2 32 -8.62226
  3 32 -7.72255
  4 32 -8.27765
  5 32 -8.67682
  6 32 -8.3346
  7 32 -7.32632
  8 32 -8.64099
  9 32 -7.78917
  10 32 -7.1614
  11 32 -8.80258
  12 32 -8.01311
  13 32 -9.49254
  14 32 -8.0702
  15 32 -10.172
  16 32 -7.87621
  17 32 -8.67383
  18 32 -8.63491
  19 32 -9.42476
  20 32 -8.73751
2500 20 640
  1 32 -8.39542
  2 32 -8.43518
  3 32 -9.46841
  4 32 -9.97821
  5 32 -8.01168
  6 32 -7.72025
  7 32 -9.43416
  8 32 -7.57469
  9 32 -6.22514
  10 32 -8.3571
  11 32 -7.54803
  12 32 -7.88533
  13 32 -8.14019
  14 32 -8.17622
  15 32 -8.35957
  16 32 -9.42961
  17 32 -7.37837
  18 32 -7.64448
  19 32 -10.4295
  20 32 -7.62559
2600 20 640
  1 32 -8.19984
  2 32 -7.62074
  3 32 -10.8527
  4 32 -10.4547
  5 32 -6.2998
  6 32 -6.47369
  7 32 -11.0033
  8 32 -6.87896
  9 32 -5.02012
  10 32 -9.8132
  11 32 -6.59739
  12 32 -8.39473
  13 32 -6.18202
  14 32 -9.25051
  15 32 -6.96044
  16 32 -10.6701
  17 32 -6.15356
  18 32 -6.83489
  19 32 -10.2497
  20 32 -6.60998
