# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 640
  1 32 -1.00186e-10
  2 32 -6.8311e-11
  3 32 -7.0422e-11
  4 32 -6.99268e-11
  5 32 -6.32355e-11
  6 32 -6.82429e-11
  7 32 -6.75282e-11
  8 32 -6.60821e-11
  9 32 -6.55383e-11
  10 32 -7.05959e-11
  11 32 -7.27087e-11
  12 32 -6.74827e-11
  13 32 -4.37218e-12
  14 32 -7.13534e-11
  15 32 -6.38903e-11
  16 32 -7.42388e-11
  17 32 -6.54695e-11
  18 32 4.80597e-10
  19 32 -6.96207e-11
  20 32 -6.46997e-11
100 20 640
  1 32 -0.302449
  2 32 0.203761
  3 32 0.511955
  4 32 -0.588795
  5 32 -0.408945
  6 32 -1.03247
  7 32 0.635289
  8 32 -0.249863
  9 32 0.064657
  10 32 0.595665
  11 32 0.245844
  12 32 0.255649
  13 32 -1.73869
  14 32 -0.727577
  15 32 0.993603
  16 32 0.355405
  17 32 0.131317
  18 32 0.322365
  19 32 0.401297
  20 32 -0.153926
200 20 640
  1 32 -0.426191
  2 32 0.0955415
  3 32 0.926171
  4 32 -2.2304
  5 32 -0.930915
  6 32 -1.72745
  7 32 0.843428
  8 32 -0.449349
  9 32 -0.238141
  10 32 0.678391
  11 32 0.101497
  12 32 0.185434
  13 32 -2.86298
  14 32 -1.87657
  15 32 0.680835
  16 32 -0.0244806
  17 32 -0.126893
  18 32 0.104209
  19 32 0.788971
  20 32 -0.210969
300 20 640
  1 32 -0.464508
  2 32 0.222077
  3 32 1.13858
  4 32 -3.25801
  5 32 -1.52946
  6 32 -2.18849
  7 32 0.763599
  8 32 -0.395147
  9 32 -0.280307
  10 32 0.934318
  11 32 -0.216082
  12 32 0.584431
  13 32 -3.39192
  14 32 -2.83269
  15 32 0.23907
  16 32 -0.253958
  17 32 -0.561067
  18 32 -0.125007
  19 32 1.24937
  20 32 -0.283796
400 20 640
  1 32 -0.497289
  2 32 0.0131261
  3 32 1.17677
  4 32 -3.04133
  5 32 -1.54027
  6 32 -2.22145
  7 32 0.863556
  8 32 0.126171
  9 32 -0.38873
  10 32 0.914867
  11 32 -0.72611
  12 32 0.400975
  13 32 -3.27181
  14 32 -3.19573
  15 32 -0.0626925
  16 32 -0.729124
  17 32 -0.821054
  18 32 -0.240695
  19 32 1.56029
  20 32 -0.369965
500 20 640
  1 32 -0.938668
  2 32 -0.0539156
  3 32 0.973722
