ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
756
ITEM: BOX BOUNDS pp pp pp
-3.6000000000000000e+04 3.6000000000000000e+04
-1.2000000000000000e+04 3.6000000000000000e+04
-3.6000000000000000e+04 3.6000000000000000e+04
ITEM: ATOMS id x y z
1 -24000 5.6067 -24000
2 -24017.8 3.1617 -23979.3
3 -24034.8 0.674305 -23957.9
4 -24049.9 -1.8975 -23935.2
5 -24062.3 -4.5002 -23910.8
6 -24070.7 -6.9729 -23884.9
7 -24074.1 -9.037 -23857.7
8 -24071.7 -10.3348 -23830.5
9 -24063 -10.4353 -23804.5
10 -24048.3 -8.8904 -23781.4
11 -24028.3 -5.3586 -23763
12 -24004.6 0.360805 -23750.4
13 -23979 8.2889 -23744.7
14 -23953.5 18.2418 -23746
15 -23930.1 29.8414 -23754.3
16 -23910.5 42.5083 -23768.8
17 -23896.4 55.4732 -23788.4
18 -23888.9 67.8114 -23811.6
19 -23888.5 78.4793 -23836.9
20 -23895.5 86.4071 -23862.2
21 -23909.3 90.5608 -23885.5
22 -23928.5 90.1544 -23905
23 -23951.3 84.739 -23919.2
24 -23975.5 74.3199 -23927
25 -23998.4 59.3586 -23928.2
26 -24017.8 40.6801 -23923.2
27 -24031.9 19.3683 -23913.3
28 -24039.2 -3.4326 -23899.9
29 -24039 -26.5127 -23885.2
30 -24031 -48.6384 -23871.1
31 -24015.6 -68.4518 -23860.1
32 -23994 -84.3897 -23854.5
33 -23968.7 -94.7987 -23856.3
34 -23943.5 -98.3427 -23866.4
35 -23922.9 -94.5867 -23884.1
36 -23911 -84.5917 -23906.6
37 -23909.4 -70.6734 -23930.1
38 -23917.5 -55.4423 -23951.4
39 -23933.1 -40.862 -23968.6
40 -23953.3 -27.827 -23981.7
41 -23976.1 -16.2892 -23991.7
42 -24000 -5.6067 -24000
43 -24000 5.6067 -2.41585e-13
44 -24017.8 3.1617 20.7094
45 -24034.8 0.674305 42.1105
46 -24049.9 -1.8975 64.8161
47 -24062.3 -4.5002 89.1677
48 -24070.7 -6.9729 115.14
49 -24074.1 -9.037 142.26
50 -24071.7 -10.3348 169.53
51 -24063 -10.4353 195.521
52 -24048.3 -8.8904 218.577
53 -24028.3 -5.3586 237.043
54 -24004.6 0.360805 249.585
55 -23979 8.2889 255.339
56 -23953.5 18.2418 253.972
57 -23930.1 29.8414 245.71
58 -23910.5 42.5083 231.228
59 -23896.4 55.4732 211.633
60 -23888.9 67.8114 188.357
61 -23888.5 78.4793 163.116
62 -23895.5 86.4071 137.822
63 -23909.3 90.5608 114.48
64 -23928.5 90.1544 94.9646
65 -23951.3 84.739 80.8184
